# davidje13 CC BY-SA

name,rules
A,RrW8eI3iI3
B,RrXeN439KUg
C,RrW8MXvERA
D,RrXeIjfxEX
E,RrXu7_SlI
F,RrXu6-Ih
G,RrW7WL3iKS
H,RrWI8R1e
I,RrW6tyPA
J,RrXqzEbq
K,RrWtb2jzOk
L,RrVV_VQ
M,RrWNUiOrw
N,RrWLUrHV4
O,RrW-o1e-o1c
P,RrXeN18RC
Q,RrW8RlrxWNw
R,RrXeN4jxFY
S,RrXd7valKV
T,RrXqq9Q
U,RrWIiL7q7g
V,RrWIi7MzMg
W,RrWIp43mZ3
X,RrXUMajTqA
Y,RrXUKs3l
Z,RrXq-K0tA
a,RrWWYuVpuA
b,RrVZiTwg
c,RrUJZGIA
d,RrVZiRjg
e,RrUm7JNrA
f,RrWW6j4A
g,RrViWSKXA
h,RrVZiDsg
i,RrVJbkYg
j,RrVFkcA
k,RrViYg7U
l,RrVVkOg
m,RrUNUi6tw
n,RrUJiC7I
o,RrUGEYQ
p,RrWYlTwg
q,RrW8XlLx0
r,RrULqXU
s,RrUlZLVA
t,RrVbsj4A
u,RrUIiSW4
v,RrUiFJmQ
w,RrUIpeWWQ
x,RrUIYIYA
y,RrUi7JaLg
z,RrW6tytLA
0,RrViIS8XA
1,RrVlbkdA
2,RrWWW5Wlg
3,RrWWWSKXA
4,RrVi6l3c
5,RrW7LJtSA
6,RrWW8SXpg
7,RrW6qNbg
8,RrVhhIpA
9,RrWYuybUuA
pi,RrU8RDu7o
'#',RrWPHiPHg
+,RrVeq9Q
-,RrULgKg
±,RrVulyNoA
_,RrUA6qg
:,RrURAgA
;,RrURkag
!,RrVUQ2A
?,RrW6iNJA
&,RrW8RFtUtA
*,RrWl_elL-9A
@,RrW9Kt7xtR
%,RrW1mtZ06k
^,RrVvoGZl
(,RrVVQvA
),RrVVSLg
[,RrW6tzxA
],RrW6tyI4
<,RrVmZRvo
>,RrVmZTV0
=,RrUuXCIg
~,RrUtUJWQ
"'",RrVkAGQ
`,RrVkAlA
.,RrUAQQ
",",RrUBkZA
'"',RrWIAJJA
cursor,RrUCPKsg
CR,RrWWN1vG4
cmd,RrXXj614-g
arrow-up,RrVv1Z8o
arrow-right,RrVnyr7o
arrow-down,RrVfdZ8o
arrow-left,RrVnyt-o
play,RrVm8p7o
ffwd,RrWN_vHv7o
stop,RrUve4Xvc
rewind,RrWN_vDf34
pause,RrXWta1-fg
smiley,RrUgi7DC
frowny,RrUgvDDC
