# davidje13 CC BY-SA

name,rules
Folder Closed,R_8CPB-fwgwAcIMAHCDAB34GfsSwNiWm4Wm4Wm4UG-A
Folder Open,R_8CPB24fgRgA4AOBGIN-Bn4aPRLFoFi0CxaBcZca
Text File,R_8vwwUdqM2DNZmbXgHvtQKBQMUkRb8A
Image File,R_8N_DRNl-Tsnbc8qzN74HPwQUbBWjtHWSVdSJmfA
Calculator,R_8182br6Br6Br6Br6BnteAe_qB4fgA8PwAeH5o98A
Volume Max,R_8dplTWGsNYaw1hUmM4V69fH6_nxo2x7XPHg
Volume Medium,R_8FFOzrOs6zrOp0SAr16-P1_PjRtjwA
Volume Low,R_8E8eOx2Ox2OjdAV69fH6_nxowA
Volume Mute,R_8E8e7u7-d7v7uxugK9evj9fz402OOaw
Wifi Max,R_8K-vzfc8G1-b2jrxod4qebbsL5X4Xt02nidw
Wifi Medium,R_8ACvr83tHXjQCjedT2-nnPGg
Wifi Low,R_8AAAjrxoABRz40AA
Battery Low,R_8A182VRaLKm68AL82zWZmZmm33A
Blutooth,R_9PHJpaWvHXpaWTG6AmzZsf-G5W3NgA
Calendar,R_85_Tn77WAsBkWawGABYBufDn51wyEJGYlw04SMhC4TufA
Globe,R_-va8B9AfYu2taH0fRfxZ8P2us9vr17nDBgVkdsm0ndJ_r-7_JPpdl9c
Place Marker,R_8jx-PudzuePx9evHGkBHj9fp_j_T-vx8YA
Fire Exit,RXJPv8o_pC_q7_q7_lH9nqvw97_LNWerrvKJvSIz0hK_u1KvwpX8kv6Qv6Qv5P-Qv-__-d--rsloWhbD7n1PkX6Hfoc1STsKS__-4_3H-4_uk_lB-X_eP9x__v4
Stop,RSJL_FixYsXg3NcABYAGRgaoAsADAyRYsWLFv7L_FwraocJuK5c6CzBuBc6LlbomzcW_g
Stop Inverted,RSJL-zJ2z3R7w-kGAUZIiwpoSRZBIrirw-6PbPZOZf2X9kgwJa5DeH3ZHsE3hHfD7JL6IrYJvD6xNkTqhmX8
Woe no,RSJGOT5LJbfTx2y-mrYj8aoybW9j6H5P_fpyQUhdS9cfOXINeFA1EQKD1no-j6h6y0LQV4
