# davidje13 CC BY-SA

name,rules
Busy,RSfC78mx1R2gF-AF8AtwJfDlt7lGkbUKC7vtrt_FBo_J0yw-DUeROQ
Cool Beans,R-kI6X6AI5rM1zkUbCHBrGkMqHk8vUbI5BQHSEjstl5PQ6
Genuine Coconut,R_-vr-f3vm3ePu9H6APsD9gfw_v9_fizbnfLu7_c_rfZ_-N_EfxL8v19c
Not What it Seems,RUpHvL7_tn1Tf8qnvh1nlK3KFC6qHd0pbvPR5-_-bP-Sz7dUb3lk_2Psf1n81_efbL8u_TV-Sr95vxJfyf0Cn879I9530Cn5P8SX9Ur9Yvpq-Xftl_vP7v1n
Duck Watch,RSJBseLFZFisi0bQ2Fvpd6PYOgWW-_k-LGemS1ZrPs3Z1m7N3XYfUVMejRZ4
Dice,R_9TaWbQJuBWBkFAgtNLXRr4IKBBBwAgkUCVBrw
3rd order Hilbert curve,R__rcyADYw0jrckeeN0rWA63G63LAdK3pygdbkHHDYAHaIu0TAA44aDrcoHpw
LCD 5,R-pDX5Py6dUnVJ0WT9fnoZdDl0OXk3Pa8AM6MmA0VQ1c6udXOrnVz0QPcgB2QDwA
Spiral,R_-bo6xsGkYCWAwAMASgWGsbIai5Pm6OouDULASwGQEwAMAlAwVY2Tpo
Star 5,R_9Rx1_-f1-Px-Pzfc5rCU255_X7_f7_X5-5zUg
Star 6,R_9KPH-_z-v1-v5_38fGkNNx-v1_P_8_r9fj5rA
Yin & Yang,RSJCnpOj4dR9R9n1Pc_J-z_F_Z_I_wP6X4-nCnpOKxkmwvufgV8Cvk_S_a_3_z_P4-nA
Christmas Tree,R_9KNR146-Pr4_X0BRgPDg-zv9nYPC4A
Menorah,RSfVgAK4AC4AC4EKgC4ZUVc6Vv6n18s72aKySMiGwPxYHIhkWSKzPZw
Rangoli,R_8WYORY2GyKBIw2xpGYNAswcixsNkUCRhtjSMwaA
Diya,R_9KNlj8S01FstLc9fn55HTy4bHodj2Pc7fhPp-aA
Kinara,R_8VgFgAYAH__v4-vj7ncx7PHk3F-H39n3-H4vk2Ozu
Star of David,RSJBsdkXv-iaDUnFpOg1E9_xWR2gEW18mqak4tr6Jom18Wk6mk1r4oA
